classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
141115798,chab5881,1835720,4409dc01e874cfe17d01,8386,clicking test 2,5.6,2019-01-18 23:29:31 UTC,,,"{""source"":""api"",""session"":""9986574411ce1d9ae4c921343f2c19f583d518a102692c13e614dddfb48c808c"",""viewport"":{""width"":1280,""height"":633},""started_at"":""2019-01-18T23:29:21.192Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:64.0) Gecko/20100101 Firefox/64.0"",""utc_offset"":""25200"",""finished_at"":""2019-01-18T23:29:31.220Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":359,""clientHeight"":349,""naturalWidth"":1626,""naturalHeight"":1578},{""clientWidth"":359,""clientHeight"":350,""naturalWidth"":1626,""naturalHeight"":1582}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[]}]","{""29412086"":{""retired"":null,""image1"":""N1597806864_img.png"",""image2"":""N1597806864_plot.png"",""my_own_id"":""7""}}",29412086
141120830,chab5881,1835720,36ec7d064b49aed407f0,8386,clicking test 2,5.6,2019-01-19 00:06:15 UTC,,,"{""source"":""api"",""session"":""f94ad4a2eb586b2d9866446e87efda662dea393027ffec22f2782453e7312a11"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-01-18T23:52:04.974Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-01-19T00:06:15.584Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":397,""clientHeight"":386,""naturalWidth"":1436,""naturalHeight"":1399},{""clientWidth"":299,""clientHeight"":292,""naturalWidth"":1436,""naturalHeight"":1399}],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[]}]","{""29412080"":{""retired"":null,""image1"":""N1467351049_img.png"",""image2"":""N1467351049_plot.png"",""my_own_id"":""1""}}",29412080
141125169,chab5881,1835720,36ec7d064b49aed407f0,8386,clicking test 2,5.6,2019-01-19 00:38:20 UTC,,,"{""source"":""api"",""session"":""5d7e5968bf43394e60385361d2efae489995eb20537e88cca3ffbd877f576326"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-01-19T00:33:14.775Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-01-19T00:38:19.749Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":596,""clientHeight"":583,""naturalWidth"":1926,""naturalHeight"":1886},{""clientWidth"":596,""clientHeight"":583,""naturalWidth"":1926,""naturalHeight"":1886}],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":1510.1441650390625,""y"":1208.108154296875,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""},{""x"":74.26974487304688,""y"":1263.0853271484375,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""},{""x"":1601.9072265625,""y"":1169.3424072265625,""tool"":0,""frame"":1,""details"":[],""tool_label"":""just click""}]}]","{""29412084"":{""retired"":null,""image1"":""N1595338008_img.png"",""image2"":""N1595338008_plot.png"",""my_own_id"":""5""}}",29412084
141125876,chab5881,1835720,36ec7d064b49aed407f0,8386,clicking test 2,5.6,2019-01-19 00:42:55 UTC,,,"{""source"":""api"",""session"":""efa250d9252ccb8c088c733c6025f942de7cf4934f0f638e1bd8aa060a31818b"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-01-19T00:41:08.151Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-01-19T00:42:54.996Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[null,null],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":852.5756225585938,""y"":512.8959350585938,""tool"":0,""frame"":1,""details"":[],""tool_label"":""just click""}]}]","{""29393663"":{""retired"":null,""image1"":""16.png"",""image2"":""16.2.png"",""my_own_id"":""1""}}",29393663
141126076,chab5881,1835720,36ec7d064b49aed407f0,8386,clicking test 2,5.6,2019-01-19 00:44:10 UTC,,,"{""source"":""api"",""session"":""96b8d805b597c2d0d24eb8d993879341e65a33e1ec851d6cb0a40a2a54324093"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-01-19T00:44:05.065Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-01-19T00:44:10.252Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":596,""clientHeight"":583,""naturalWidth"":1918,""naturalHeight"":1877},{""clientWidth"":596,""clientHeight"":583,""naturalWidth"":1918,""naturalHeight"":1877}],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[]}]","{""29412083"":{""retired"":null,""image1"":""N1595337686_img.png"",""image2"":""N1595337686_plot.png"",""my_own_id"":""4""}}",29412083
141126085,chab5881,1835720,36ec7d064b49aed407f0,8386,clicking test 2,5.6,2019-01-19 00:44:15 UTC,,,"{""source"":""api"",""session"":""96b8d805b597c2d0d24eb8d993879341e65a33e1ec851d6cb0a40a2a54324093"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-01-19T00:44:11.111Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-01-19T00:44:15.288Z"",""seen_before"":true,""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":599,""clientHeight"":583,""naturalWidth"":1436,""naturalHeight"":1399},{""clientWidth"":599,""clientHeight"":583,""naturalWidth"":1436,""naturalHeight"":1399}],""subject_selection_state"":{""retired"":false,""already_seen"":true,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[]}]","{""29412080"":{""retired"":null,""image1"":""N1467351049_img.png"",""image2"":""N1467351049_plot.png"",""my_own_id"":""1""}}",29412080
146500991,chab5881,1835720,b90e9873c0090a733060,8386,clicking test 2,15.6,2019-02-15 23:11:36 UTC,,,"{""source"":""api"",""session"":""d57e94b6dcfc9776e84637f1a7b8a6ec34814ebb43ee3bdee4884546672ac4c5"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-15T23:11:03.543Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-15T23:11:36.240Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":274,""naturalWidth"":1396,""naturalHeight"":465},{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1396,""naturalHeight"":698}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":672.4886474609375,""tool"":0,""frame"":1,""details"":[],""tool_label"":""just click""},{""x"":1263.4252319335938,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""}]}]","{""30465764"":{""retired"":null,""image1"":""N1595338491_10img_1.0.png"",""image2"":""N1595338491_10plt_1.0.png"",""my_own_id"":""6""}}",30465764
146502351,chab5881,1835720,b90e9873c0090a733060,8386,clicking test 2,15.6,2019-02-15 23:20:21 UTC,,,"{""source"":""api"",""session"":""3c571628c6418c2bacade38001b80fee39fad84bc8227ecf3452a1d5abac3fc1"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-15T23:20:12.928Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-15T23:20:21.305Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":274,""naturalWidth"":1501,""naturalHeight"":500},{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1501,""naturalHeight"":750}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":620.8212280273438,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""}]}]","{""30465760"":{""retired"":null,""image1"":""N1584974162_10img_1.0.png"",""image2"":""N1584974162_10plt_1.0.png"",""my_own_id"":""3""}}",30465760
146502374,chab5881,1835720,b90e9873c0090a733060,8386,clicking test 2,15.6,2019-02-15 23:20:28 UTC,,,"{""source"":""api"",""session"":""3c571628c6418c2bacade38001b80fee39fad84bc8227ecf3452a1d5abac3fc1"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-15T23:20:22.858Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-15T23:20:28.626Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":274,""naturalWidth"":1381,""naturalHeight"":460},{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1381,""naturalHeight"":690}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":297.3673400878906,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""}]}]","{""30465762"":{""retired"":null,""image1"":""N1595337686_10img_1.0.png"",""image2"":""N1595337686_10plt_1.0.png"",""my_own_id"":""4""}}",30465762
146502478,chab5881,1835720,b90e9873c0090a733060,8386,clicking test 2,15.6,2019-02-15 23:21:01 UTC,,,"{""source"":""api"",""session"":""3c571628c6418c2bacade38001b80fee39fad84bc8227ecf3452a1d5abac3fc1"",""viewport"":{""width"":1366,""height"":648},""started_at"":""2019-02-15T23:20:29.522Z"",""user_agent"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"",""utc_offset"":""25200"",""finished_at"":""2019-02-15T23:21:01.677Z"",""live_project"":false,""interventions"":{""opt_in"":true,""message"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":822,""clientHeight"":274,""naturalWidth"":1175,""naturalHeight"":391},{""clientWidth"":822,""clientHeight"":411,""naturalWidth"":1175,""naturalHeight"":587}],""subject_selection_state"":{""retired"":false,""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""8642""}","[{""task"":""T0"",""task_label"":""point on two pictures"",""value"":[{""x"":676.0823974609375,""tool"":0,""frame"":0,""details"":[],""tool_label"":""just click""}]}]","{""30465770"":{""retired"":null,""image1"":""N1467344745_12img_1.0.png"",""image2"":""N1467344745_12plt_1.0.png"",""my_own_id"":""11""}}",30465770
